,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x,stunting(percentage),overweight(percentage),Country,Code,Income group,Region,Continent,principal component 1,principal component 2,Continent_Cluster,Region_Cluster,Income group_Cluster
95,5.27,28.46,2.39,1.45,48.9,1.1,Madagascar,MDG,Low income,Sub-Saharan Africa,Africa,-2.6163153045535337,-0.2618064234147578,2,2,0
96,3.39,34.11,0.8,2.11,37.4,4.6,Malawi,MWI,Low income,Sub-Saharan Africa,Africa,-2.0479948394395304,-0.7239954106447661,2,2,0
97,18.03,26.7,6.779999999999999,17.42,20.7,6.0,Malaysia,MYS,Upper middle income,East Asia & Pacific,Asia,-0.02737805995105249,1.631742068788187,0,3,2
98,8.67,23.47,12.14,60.26,18.6,6.1,Maldives,MDV,Upper middle income,South Asia,Asia,-0.17820783787282754,5.495113156296888,3,4,2
99,8.120000000000001,45.61,10.29,1.98,30.4,1.9,Mali,MLI,Low income,Sub-Saharan Africa,Africa,-1.0281782284498067,-1.4006402923512524,2,6,0
101,8.64,37.94,17.15,2.99,27.9,1.3,Mauritania,MRT,Lower middle income,Sub-Saharan Africa,Africa,-0.4964614692420494,-0.7427094714626253,2,6,0
102,18.6,34.12,13.31,7.12,13.6,6.5,Mauritius,MUS,Upper middle income,Sub-Saharan Africa,Africa,0.8297214031642328,0.09742346051151159,0,3,3
103,19.49,33.78,14.84,3.09,10.0,5.3,Mexico,MEX,Upper middle income,Latin America & Caribbean,North America,1.0354694944667955,-0.1313112938931649,0,3,3
104,24.509999999999998,26.04,12.97,0.3,7.3,11.7,Mongolia,MNG,Lower middle income,East Asia & Pacific,Asia,1.8416259359349336,0.019439582349264743,5,5,3
105,24.55,27.8,31.93,3.07,9.4,22.3,Montenegro,MNE,Upper middle income,Europe & Central Asia,Eurpoe,3.9935883827610583,-0.7830176338212436,5,5,1
106,11.879999999999999,57.24,7.02,5.41,14.9,10.8,Morocco,MAR,Lower middle income,Middle East & North Africa,Africa,0.39497678512353207,-2.172408309284748,4,1,1
107,2.71,22.22,0.9299999999999999,2.38,42.9,7.8,Mozambique,MOZ,Low income,Sub-Saharan Africa,Africa,-2.0619244706084254,-0.057439289095218636,2,2,0
108,12.84,30.68,5.76,14.4,29.4,1.5,Myanmar,MMR,Lower middle income,East Asia & Pacific,Asia,-1.1267326554920356,1.0957090264368325,1,0,2
109,9.0,22.42,6.27,3.21,22.7,4.0,Namibia,NAM,Upper middle income,Sub-Saharan Africa,Africa,-0.8326602246614644,0.5428991842460487,1,0,2
110,4.11,39.19,5.4799999999999995,0.65,36.0,1.2,Nepal,NPL,Low income,South Asia,Asia,-1.900972514990409,-1.0834143900466484,2,2,0
114,7.5,31.07,8.89,1.34,17.3,8.3,Nicaragua,NIC,Lower middle income,Latin America & Caribbean,North America,-0.11644468009209002,-0.5525565993532111,2,6,0
115,5.470000000000001,34.4,5.7,0.88,40.6,1.1,Niger,NER,Low income,Sub-Saharan Africa,Africa,-2.01778646535297,-0.7138712348691119,2,2,0
116,3.0199999999999996,30.18,1.78,4.31,43.6,1.5,Nigeria,NGA,Lower middle income,Sub-Saharan Africa,Africa,-2.53764703638219,-0.13919854191432338,2,2,0
118,21.0,27.3,16.08,6.31,14.1,4.4,Oman,OMN,High income,Middle East & North Africa,Asia,0.9396842428205745,0.6818138596081702,0,3,3
119,5.59,29.85,19.68,0.61,37.6,2.5,Pakistan,PAK,Lower middle income,South Asia,Asia,-0.8100127274653133,-0.6370180009457593,2,6,0
120,20.64,25.11,12.36,5.04,19.0,9.7,Panama,PAN,High income,Latin America & Caribbean,North America,0.9148858687179202,0.41261459566714437,0,3,3
121,18.1,21.15,12.11,1.12,5.6,12.4,Paraguay,PRY,Upper middle income,Latin America & Caribbean,South America,1.5239991525913947,0.30427220218879497,5,3,3
122,10.149999999999999,27.47,7.66,5.75,12.9,8.0,Peru,PER,Upper middle income,Latin America & Caribbean,South America,0.08765875825180407,0.2793735451208047,0,3,3
123,11.219999999999999,27.37,2.6799999999999997,9.48,33.4,3.9,Philippines,PHL,Lower middle income,East Asia & Pacific,Asia,-1.3924081357509541,0.7190362915407494,1,0,2
126,19.45,28.55,6.32,16.18,2.5,7.3,Republic of Korea,KOR,High income,East Asia & Pacific,Asia,0.8847911432053366,1.5612185641640188,0,3,3
127,12.77,28.02,16.6,3.63,6.4,4.9,Republic of Moldova,MDA,Lower middle income,Europe & Central Asia,Eurpoe,0.8617906982983496,0.23553672866514286,0,3,3
128,17.07,40.06,27.44,1.74,12.8,8.3,Romania,ROU,Upper middle income,Europe & Central Asia,Eurpoe,1.936612327344024,-1.1894143737462994,4,1,1
130,2.41,10.29,1.37,1.3,36.9,5.6,Rwanda,RWA,Low income,Sub-Saharan Africa,Africa,-2.0291329542782433,0.9463730788256052,1,0,2
132,32.57,22.01,9.05,6.71,2.5,6.3,Saint Lucia,LCA,Upper middle income,Latin America & Caribbean,North America,1.7432207089074665,1.5409622550110842,0,3,3
134,33.8,13.57,4.83,12.22,4.9,5.3,Samoa,WSM,Upper middle income,East Asia & Pacific,Australia,1.3033232743931387,2.8128641393734997,0,3,3
135,5.21,21.75,2.86,7.97,17.2,2.4,Sao Tome and Principe,STP,Lower middle income,Sub-Saharan Africa,Africa,-1.2128007960234068,1.144280815156911,1,0,2
136,21.21,37.82,12.219999999999999,3.47,9.3,6.1,Saudi Arabia,SAU,High income,Middle East & North Africa,Asia,1.062730396552984,-0.364237914813543,0,1,1
137,5.22,34.87,2.4699999999999998,6.67,16.5,0.9,Senegal,SEN,Low income,Sub-Saharan Africa,Africa,-1.2989766014545379,0.12013806816496553,1,2,0
138,17.39,30.08,15.58,1.86,6.0,13.9,Serbia,SRB,Upper middle income,Europe & Central Asia,Eurpoe,1.8631994253077526,-0.47447676064518013,5,5,1
139,2.81,23.86,1.1600000000000001,9.88,37.8,8.8,Sierra Leone,SLE,Low income,Sub-Saharan Africa,Africa,-1.7520890169512728,0.5023850994393395,1,0,2
142,5.41,16.85,1.44,10.55,31.6,4.5,Solomon Islands,SLB,Lower middle income,East Asia & Pacific,Australia,-1.7236076093354604,1.4862872887734766,1,0,2
143,23.36,41.07,7.119999999999999,1.88,27.4,13.3,South Africa,ZAF,Upper middle income,Sub-Saharan Africa,Africa,0.7311187026675985,-1.267389356123922,4,1,1
145,2.27,29.42,4.6,9.07,17.3,2.0,Sri Lanka,LKA,Lower middle income,South Asia,Asia,-1.2796589799882865,0.5798619356011306,1,0,2
146,35.120000000000005,26.64,30.32,0.36,38.2,3.0,Sudan,SDN,Lower middle income,Sub-Saharan Africa,Africa,1.65095286494612,0.12036618987883792,5,5,3
147,16.91,24.29,6.04,4.49,8.8,4.0,Suriname,SUR,Upper middle income,Latin America & Caribbean,South America,0.1803603317835855,0.8808357658576551,0,3,3
148,9.11,30.95,5.0200000000000005,0.42,25.5,9.0,Eswatini,SWZ,Lower middle income,Sub-Saharan Africa,Africa,-0.5643608977186253,-0.6699690634646744,2,6,0
