,dairy,eggs,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Primary_Religion,Population_2015,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,Soil_suit_pulses,Soil_suit_roots,ISO3C,Entity,Code,Year, (g/person/day),Travel_time_to_cities_group,Soil_suit_overall_group,dairy_group,eggs_group,meat_fish_group,nuts_pulses_group,grains_tubers_group
9195,0.153846153846154,0.42857142857142894,0.14285714285714302,0.14285714285714302,0.923076923076923,0.7142857142857142,1,229508.0,9.738760000000001,0.3993693,4.028601,4.574585,4.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,1,1,2,1,1,4
9206,0.733333333333333,0.266666666666667,0.0,0.0666666666666667,0.666666666666667,1.0,1,1711824.0,0.0,0.0,2.08338,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,3,2,1,1,3
9207,0.36956521739130394,0.260869565217391,0.0434782608695652,0.0869565217391306,0.83695652173913,0.673913043478261,1,3113317.0,0.0,0.0,2.08338,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,2,2,1,1,4
9304,0.125,0.25,0.25,0.33333333333333304,0.666666666666667,0.625,1,98536.21,3.715593,6.843595,6.983237,7.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,2,2,2,3
9309,0.23076923076923103,0.0769230769230769,0.307692307692308,0.307692307692308,0.8846153846153849,0.615384615384615,1,775070.8,4.504078,6.67123,6.940472,7.14917,5.175939,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,2,2,4
9325,0.2,0.111111111111111,0.0666666666666667,0.155555555555556,0.8888888888888891,0.377777777777778,1,173899.4,0.0,0.0,2.08338,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,1,1,1,1,4
9326,0.35405405405405393,0.26705276705276704,0.105920205920206,0.13963963963963902,0.7851351351351351,0.727027027027027,1,1288392.0,0.0,0.0,2.08338,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,2,2,1,1,4
9327,0.529411764705882,0.22549019607843104,0.0490196078431373,0.107843137254902,0.810784313725491,0.8039215686274509,1,3150476.0,0.0,0.0,2.08338,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,3,1,1,1,4
9328,0.410958904109589,0.24657534246575302,0.10410958904109599,0.0684931506849315,0.90958904109589,0.7616438356164379,1,702083.0,0.0,0.0,2.1143810000000003,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,2,1,1,1,4
9429,0.125,0.0,0.25,0.0,0.8,0.375,1,17786.01,3.021159,5.9475620000000005,6.037057,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,3,1,1,2,1,4
