HouseholdId,Our_HouseholdId,Cell_Coord_y_round,Cell_Coord_x_round,dist_road,dist_popcenter,MDD21,MDD22,MDD23,MDD24,MDD25,MDD26,MDD27,MDD28,MDD29,MDD30,MMD10,Urban.Rural,fao1,fao2,fao3,fao4,fao5,fao6,fao7,fao8,fao9,fao10,fao11,fao12,FAO12,ISO3N,Primary_Religion,Percent_Primary_Religion,Percent_Christian,GDP_PPP_2015,GDP_PPP_2000,GDP_PPP_1990,Population_2015,Population_2000,Population_1990,Travel_time_to_cities,Cell_Coord_x,Cell_Coord_y,PerCapita_GDP_2015,PerCapita_GDP_2000,PerCapita_GDP_1990,ISO3C,Continent,World_Region
1.01014E+11,53,-9.58,33.25,0.039999999,90.93000031,1,1,1,1,1,0,0,0,1,0,6,Rural,1,1,1,1,0,0,1,1,0,1,0,1,8,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,54,-9.58,33.25,0.860000014,90.83999634,1,1,0,0,1,0,0,0,1,0,4,Rural,1,0,1,1,0,0,0,1,1,1,0,1,7,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,55,-9.58,33.25,1.360000014,90.44999695,1,1,0,1,1,0,1,0,1,0,6,Rural,1,0,1,1,0,0,1,0,0,1,0,1,6,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,56,-9.58,33.25,1.379999995,91.88999939,1,0,0,0,1,0,0,0,1,0,3,Rural,1,1,0,1,0,0,0,0,1,1,0,1,6,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,57,-9.58,33.25,2.779999971,91.09999847,1,0,0,0,1,0,1,0,1,1,5,Rural,1,1,0,1,0,1,0,0,0,1,0,1,6,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,58,-9.58,33.25,0.129999995,87.70999908,1,1,0,1,1,0,0,0,1,0,5,Rural,1,1,1,1,0,0,1,1,1,1,0,1,9,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,59,-9.58,33.25,0.25,88.58000183,1,1,1,0,1,1,0,0,1,1,7,Rural,1,1,1,1,0,1,0,1,1,1,1,1,10,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,60,-9.58,33.25,0.439999998,88.87999725,1,1,0,0,1,0,1,0,1,0,5,Rural,1,0,1,1,0,0,0,0,0,1,0,1,5,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,61,-9.58,33.25,0.159999996,88.37999725,1,1,1,1,1,0,0,0,1,0,6,Rural,1,0,1,1,1,0,1,1,1,1,0,1,9,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,62,-9.58,33.25,0.569999993,87.87000275,1,0,0,0,0,0,1,0,1,0,3,Rural,1,0,0,1,0,0,0,1,1,1,0,0,5,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,63,-9.58,33.25,0.050000001,88.30999756,1,0,0,0,1,0,1,0,1,0,4,Rural,1,0,0,1,0,0,0,0,0,1,0,1,4,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01014E+11,64,-9.58,33.25,1.039999962,88.34999847,1,1,0,0,1,1,1,0,1,0,6,Rural,1,0,1,1,0,0,0,0,1,1,1,1,7,454,Christians,97.5,97.5,3255258.74,1520908.831,1289941.074,1713.711619,1012.530833,771.9422443,129.9825,33.20833333,-9.541666667,1899.537065,1502.086437,1671.033142,MWI,Africa,Eastern Africa
1.01015E+11,65,-9.67,33.25,0.610000014,81.06999969,1,1,0,0,0,0,0,0,1,0,3,Rural,1,1,1,1,0,0,0,0,0,1,0,0,5,454,Christians,97.5,97.5,NA,NA,NA,0,0,326.3966823,227.876361,33.20833333,-9.625,0,0,NA,MWI,Africa,Eastern Africa
1.01015E+11,66,-9.67,33.25,0.159999996,81.06999969,1,1,0,1,0,1,0,0,1,0,5,Rural,1,1,1,1,0,0,1,1,1,1,1,0,9,454,Christians,97.5,97.5,NA,NA,NA,0,0,326.3966823,227.876361,33.20833333,-9.625,0,0,NA,MWI,Africa,Eastern Africa
1.01015E+11,67,-9.67,33.25,0.319999993,81.19999695,1,1,1,0,1,1,0,0,1,0,6,Rural,1,1,1,1,1,0,0,1,1,1,1,0,9,454,Christians,97.5,97.5,NA,NA,NA,0,0,326.3966823,227.876361,33.20833333,-9.625,0,0,NA,MWI,Africa,Eastern Africa
1.01015E+11,68,-9.67,33.25,0.629999995,81.52999878,1,1,1,0,1,0,0,0,1,0,5,Rural,1,1,1,1,1,0,0,1,1,1,0,0,8,454,Christians,97.5,97.5,NA,NA,NA,0,0,326.3966823,227.876361,33.20833333,-9.625,0,0,NA,MWI,Africa,Eastern Africa
1.01015E+11,69,-9.67,33.25,0.660000026,81.51999664,1,1,0,0,0,0,0,0,0,0,2,Rural,1,1,1,0,0,0,0,0,0,1,0,0,4,454,Christians,97.5,97.5,NA,NA,NA,0,0,326.3966823,227.876361,33.20833333,-9.625,0,0,NA,MWI,Africa,Eastern Africa
1.01015E+11,70,-9.67,33.25,0.140000001,81.11000061,1,1,1,0,1,1,0,0,1,0,6,Rural,1,1,1,1,1,0,0,1,1,1,1,0,9,454,Christians,97.5,97.5,NA,NA,NA,0,0,326.3966823,227.876361,33.20833333,-9.625,0,0,NA,MWI,Africa,Eastern Africa
1.01015E+11,71,-9.67,33.25,0.100000001,81.94999695,1,1,0,1,1,0,0,1,1,1,7,Rural,1,1,1,1,0,1,1,1,1,1,0,1,10,454,Christians,97.5,97.5,NA,NA,NA,0,0,326.3966823,227.876361,33.20833333,-9.625,0,0,NA,MWI,Africa,Eastern Africa
